"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Booking","0","Booking Management (CRUD)","6","0","Filter bookings by criteria","0"
"0","Booking","0","Booking Management (CRUD)","9","0","Get booking summary","0"
"0","Booking","0","Booking Management (CRUD)","5","0","Delete booking","0"
"0","Booking","0","Booking Management (CRUD)","5","0","Retrieve booking details","0"
"0","Booking","0","Booking Management (CRUD)","3","0","List all bookings","0"
"0","Booking","0","Booking Management (CRUD)","5","0","Update existing booking","0"
"0","API Health","0","Check Health","6","0","Checking the server's health","0"
"0","Authentication","0","User Authentication","5","0","Token validation process","0"
"0","Booking","0","Booking Management (CRUD)","5","0","Create new booking","0"
"0","Booking","0","Booking Management (CRUD)","7","0","Check room availability","0"
"0","Authentication","0","User Authentication","2","0","User login to the system","0"
"0","Authentication","0","User Authentication","4","0","User logout from the system","0"
